record_id,source_file,chunk_id,instruction_template_id,instruction,response_words
30,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0153,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
31,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0044,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
32,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0118,2,Extract the important support-engineer actions described in this corpus section.,350
33,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0075,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
34,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0110,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
35,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0895,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
36,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0599,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
37,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0023,2,Extract the important support-engineer actions described in this corpus section.,350
38,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0350,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
39,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0205,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
40,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0138,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
41,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0024,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
42,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0450,2,Extract the important support-engineer actions described in this corpus section.,350
43,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0369,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,323
44,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0116,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
45,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0051,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
46,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0065,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
47,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0532,2,Extract the important support-engineer actions described in this corpus section.,350
48,servicenow_incident_management.txt,servicenow_incident_management.txt_chunk_0016,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
49,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0282,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
50,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0243,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
51,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0103,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
52,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0496,2,Extract the important support-engineer actions described in this corpus section.,350
53,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0342,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
54,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0139,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
55,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0302,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
56,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0131,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
57,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0025,2,Extract the important support-engineer actions described in this corpus section.,350
58,microsoft_intune_enrollment_options.txt,microsoft_intune_enrollment_options.txt_chunk_0009,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,174
59,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0329,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
60,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0074,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
61,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0113,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
62,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0009,2,Extract the important support-engineer actions described in this corpus section.,350
63,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0363,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
64,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0015,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
65,microsoft_intune_enrollment_options.txt,microsoft_intune_enrollment_options.txt_chunk_0004,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
66,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0239,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
67,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0861,2,Extract the important support-engineer actions described in this corpus section.,350
68,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0825,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
69,servicenow_incident_management.txt,servicenow_incident_management.txt_chunk_0059,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
70,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0143,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
71,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0095,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
72,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0815,2,Extract the important support-engineer actions described in this corpus section.,350
73,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0288,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
74,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0526,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
75,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0244,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
76,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0841,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
77,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0484,2,Extract the important support-engineer actions described in this corpus section.,350
78,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0239,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
79,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0392,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
80,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0148,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
81,servicenow_incident_management.txt,servicenow_incident_management.txt_chunk_0020,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
82,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0879,2,Extract the important support-engineer actions described in this corpus section.,350
83,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0006,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
84,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0027,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
85,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0109,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
86,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0395,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
87,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0316,2,Extract the important support-engineer actions described in this corpus section.,350
88,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0041,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
89,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0636,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
90,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0348,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
91,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0176,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
92,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0277,2,Extract the important support-engineer actions described in this corpus section.,350
93,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0737,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
94,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0206,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
95,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0242,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
96,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0280,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
97,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0859,2,Extract the important support-engineer actions described in this corpus section.,350
98,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0564,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
99,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0119,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
100,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0325,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
101,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0254,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
102,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0226,2,Extract the important support-engineer actions described in this corpus section.,350
103,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0381,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
104,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0035,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
105,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0038,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
106,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0239,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
107,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0279,2,Extract the important support-engineer actions described in this corpus section.,350
108,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0654,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
109,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0089,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
110,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0088,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
111,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0144,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
112,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0521,2,Extract the important support-engineer actions described in this corpus section.,350
113,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0008,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
114,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0624,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
115,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0420,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
116,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0298,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
117,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0139,2,Extract the important support-engineer actions described in this corpus section.,350
118,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0377,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
119,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0198,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
120,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0064,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
121,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0012,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
122,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0120,2,Extract the important support-engineer actions described in this corpus section.,350
123,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0011,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
124,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0752,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
125,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0219,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
126,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0352,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
127,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0001,2,Extract the important support-engineer actions described in this corpus section.,350
128,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0249,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
129,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0091,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
130,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0367,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
131,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0238,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
132,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0034,2,Extract the important support-engineer actions described in this corpus section.,350
133,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0229,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
134,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0218,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
135,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0055,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
136,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0724,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
137,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0554,2,Extract the important support-engineer actions described in this corpus section.,350
138,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0512,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
139,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0149,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
140,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0231,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
141,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0848,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
142,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0887,2,Extract the important support-engineer actions described in this corpus section.,350
143,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0229,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
144,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0010,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
145,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0143,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
146,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0584,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
147,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0202,2,Extract the important support-engineer actions described in this corpus section.,350
148,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0492,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
149,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0020,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
150,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0543,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
151,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0508,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
152,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0117,2,Extract the important support-engineer actions described in this corpus section.,350
153,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0068,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
154,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0094,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
155,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0148,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
156,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0222,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
157,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0606,2,Extract the important support-engineer actions described in this corpus section.,350
158,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0252,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
159,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0768,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
160,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0168,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
161,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0043,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
162,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0339,2,Extract the important support-engineer actions described in this corpus section.,350
163,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0047,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
164,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0027,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
165,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0087,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
166,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0015,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
167,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0190,2,Extract the important support-engineer actions described in this corpus section.,350
168,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0671,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
169,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0225,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
170,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0030,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
171,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0100,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
172,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0374,2,Extract the important support-engineer actions described in this corpus section.,350
173,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0045,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
174,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0436,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
175,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0219,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
176,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0019,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
177,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0366,2,Extract the important support-engineer actions described in this corpus section.,350
